x,y,z,Activity
-9.193282,-3.3254845,3.509901,fall
-8.97294,-3.1051428,3.319497,fall
-8.636439999999999,-2.6728417999999996,2.6321266,fall
-8.5598,-2.0980369999999997,2.4357347000000003,fall
-8.838819500000001,-1.9148182,2.4980054,fall
-9.084309,-2.4022045,2.4513025,fall
-9.127419,-3.0332923,2.4896228,fall
-8.7262535,-3.1686107999999997,2.4297473,fall
-8.5083065,-3.248844,2.7003846,fall
-8.556208,-3.297942,2.6680517000000004,fall
-8.743019,-3.3206947,2.9039612,fall
-8.873548,-3.3182995,2.8764184,fall
-8.836425,-2.9099487999999996,2.8764184,fall
-8.787327000000001,-2.7734327000000003,3.1003528,fall
-8.970546,-2.6860144,3.026107,fall
-8.990903,-2.6369164,2.8812084,fall
-8.813672,-2.5542884,2.5938063,fall
-8.655600999999999,-2.7219398,2.5758436000000002,fall
-8.805289,-3.1757958,2.6764343,fall
-8.929831,-3.7206627999999995,2.8931837000000002,fall
-9.023236,-3.8416114,2.9422815,fall
-8.963361,-3.1949560000000004,2.941084,fall
-8.727451,-2.7482848,2.9303063999999996,fall
-8.640033,-2.635719,3.1087352999999998,fall
-8.575367,-2.9710217,2.8680357999999995,fall
-8.701106,-3.3817675000000005,3.0548474999999997,fall
-8.983718,-3.4691858,2.826123,fall
-8.617280000000001,-3.2320787999999996,3.0308971000000002,fall
-8.66518,-3.1686107999999997,3.2560291,fall
-9.024433,-3.1183155,3.3877552000000004,fall
-8.98731,-3.2692018,3.4596057,fall
-8.859178,-3.2859669,3.2081287,fall
-8.728649,-3.2560291,3.150648,fall
-8.692722999999999,-3.1793885,2.941084,fall
-8.417296,-3.5242712,2.9973669999999997,fall
-8.459209,-3.4799633,3.0967603,fall
-8.453221000000001,-3.5554066,3.2296839,fall
-8.49274,-3.7278477999999997,3.214116,fall
-8.566985,-3.7781434000000003,3.2751892000000002,fall
-8.52627,-3.7386255,3.4344580000000002,fall
-8.555010000000001,-3.5554066,3.1997461,fall
-8.291557000000001,-3.4883459,2.9650342,fall
-8.278385,-3.5314562000000005,2.8740234,fall
-8.188572,-3.6068995000000004,2.8452832999999997,fall
-8.068821,-3.812871,3.1817834,fall
-8.402925999999999,-4.103866,3.4069152000000003,fall
-8.440049,-3.6847373999999995,3.5087037000000003,fall
-8.153844,-3.2129187999999997,3.7242553,fall
-8.286767999999999,-3.2931519000000002,4.011657700000001,fall
-8.394544,-3.4380504999999997,3.9086719,fall
-8.543035,-3.6021094,3.8236487,fall
-8.57896,-3.9529797999999996,3.3182995,fall
-8.517887,-4.235592,3.4643957999999997,fall
-8.475974,-4.3529480000000005,3.2236962000000005,fall
-8.3191,-4.2499623,3.1075377,fall
-8.261619999999999,-3.9733373999999997,3.0967603,fall
-8.126301,-3.7769458,2.982997,fall
-8.028106,-3.6583924,2.7075696,fall
-7.9694275999999995,-3.5170863,3.0344896,fall
-8.184979,-3.7889209000000004,3.2608192000000003,fall
-8.484357000000001,-3.7613782999999996,3.671565,fall
-8.717871,-3.9290295,3.690725,fall
-8.57896,-4.301455000000001,3.4464330000000003,fall
-8.230485,-4.6199927,3.263214,fall
-7.962242599999999,-4.8223720000000005,2.9566517000000005,fall
-8.101153,-4.567302,2.7303224,fall
-8.174202000000001,-4.142186,2.8572583,fall
-8.485553999999999,-4.1493709999999995,3.1757958,fall
-8.469987,-4.0248303,3.2440537999999997,fall
-8.387359,-3.9649549,2.9422815,fall
-8.192164,-4.0954833,2.8249254,fall
-8.183782,-4.405638,2.9614418,fall
-8.23767,-4.658313,2.9794042000000003,fall
-8.296348,-4.404441,2.8620484,fall
-8.113128999999999,-3.8559812999999994,2.8428880000000003,fall
-8.0436735,-3.7338355000000005,2.9806017999999996,fall
