Mean_X,Std_X,Mean_Y,Std_Y,Mean_Z,Std_Z,Activity
-2.267573671,0.463762286,-2.800216528,1.172744119,-9.629259027,1.134142823,hand_wash
-2.784221948,1.21589687,-3.287493027,1.296134501,-9.219944636,0.891565219,hand_wash
-3.093072872,0.868669004,-6.098312549,0.972331209,-7.568415851,1.468746921,hand_wash
-2.045500825,1.68327288,-5.549687095,2.026756305,-7.980833464,1.640995503,hand_wash
-2.87892019,0.869889184,-4.264925102,0.999513354,-8.735015656,1.016365887,hand_wash
-3.490812103,0.404609705,-4.289894955,0.687992523,-8.606965091,0.434227921,hand_wash
-2.726919442,0.796637518,-3.174728812,0.514218364,-9.271571159,0.690425316,hand_wash
-3.830561036,0.535034935,-3.762160702,0.842864694,-8.762831052,0.762011278,hand_wash
-2.908892109,0.685122546,-3.814960864,0.686982956,-8.985420631,0.858829619,hand_wash
-2.690685887,0.949676932,-6.23240995,1.355682992,-7.521143841,1.441589491,hand_wash
-1.136911074,4.59428807,-7.059426821,5.456151119,3.947146349,4.716431997,hand_wash
-2.978609905,2.279573022,0.822701051,2.126522396,8.911073294,1.61677057,hand_wash
0.185254756,0.212297643,3.94339967,0.179301471,8.43262425,0.436682953,hand_wash
1.793264788,14.81428325,-5.426739306,15.52017022,-0.327912074,7.557121352,hand_wash
4.682450413,15.80587963,-8.595151283,16.97317657,-7.028247206,7.048086665,hand_wash
3.993401884,12.0582915,-6.559860676,12.097991,-6.071521165,9.121441401,hand_wash
5.84310071,13.08136404,-8.472334197,13.35600164,-4.368669768,5.803623534,hand_wash
5.868995371,11.79088,-7.177529666,13.5239747,-3.680077947,4.355644621,hand_wash
3.426201487,12.45421347,-5.610156771,12.57188764,-3.682166056,4.416608529,hand_wash
5.861897605,12.66355983,-8.701579981,12.18199705,-4.535343738,5.920455111,hand_wash
-0.072307379,8.459615719,-8.406407432,10.36127321,0.334623759,5.971477903,hand_wash
5.197448931,16.53721883,-4.465025164,6.978347293,0.632566233,6.418869709,hand_wash
7.101982883,16.89318253,-4.388861188,6.360207804,1.929043069,6.408067781,hand_wash
7.33444493,15.37276775,-5.032286793,6.56663151,2.159424617,6.424420877,hand_wash
